Account,Title,Total Cost (USD),Factory Equipment Cost,Site Labor Hours,Site Labor Cost,Site Material Cost
10,Capitalized Pre-Construction Costs,,,,,
11,Land & Land Rights,11000000.0,,,,
12,Site Permits,1598891.0,,,,
13,Plant Licensing,24382988.0,,,,
14,Plant Permits,12679167.0,,,,
15,Plant Studies,12679167.0,,,,
16,Plant Reports,3972186.0,,,,
18,Other Pre-Construction Costs,12679167.0,,,,
,,,,,,
,10s - Subtotal,78991566.0,,,,
,10s - $/kWe,254.15561776061776,,,,
,,,,,,
20,Capitalized Direct Costs,,,,,
21,Structures & Improvements,440882957.6108649,106559047.67980501,5557505.160093568,279152501.8215848,55171408.109475
212,Reactor Containment Building,264076457.7823208,95722666.18162501,3121807.4652046785,157643177.2899708,10710614.310725
213,Turbine Room and Heater Bay,10386814.59682693,619346.3887799999,119452.92468421052,6159945.34977193,3607522.858275
211 plus 214 to 219,Othe Structures & Improvements,166419685.2317171,10217035.1094,2316244.7702046786,115349379.18184212,40853270.940475
22,Reactor System,807606908.384159,611521553.9609799,3518498.481637427,189006817.1733041,7078537.249875001
23,Energy Conversion System,206565176.4953713,135167624.93497306,1264168.8044795322,66920930.28329825,4476621.2771000005
232.1,Electricity Generation Systems,133275068.62239936,98488776.22287305,652925.0971403508,34786292.39952631,0.0
233,Ultimate Heat Sink,73290107.87297192,36678848.7121,611243.7073391813,32134637.883771934,4476621.2771000005
24,Electrical Equipment,123782437.0814193,22712248.397825,1491381.6070467837,80385388.3227193,20684800.360875
25,Initial fuel inventory,279724434.0,,,,
26,Miscellaneous Equipment,46907263.38880249,13917712.99835,542063.7679824563,29377875.04432749,3611675.346125
28,Simulator,78200.0,,,,
,,,,,,
,20s - Subtotal,1905547376.9606168,,,,
,20s - $/kWe,6131.104816475601,,,,
,,,,,,
30,Capitalized Indirect Services Costs,,,,,
31,Factory & Field Indirect Costs,288869950.9382293,,,,
32,Factory and construction supervision,1086805347.6090326,,,,
33,Start-Up Costs,45645824.59957937,,,,
34,Shipping & Transportation Costs,3803818.716631614,,,,
35,Engineering Services,293437443.85443884,,,,
,,,,,,
,30s - Subtotal,1718562385.7179117,,,,
,30s - $/kWe,5529.480005527386,,,,
,,,,,,
50,Capitalized Supplementary Costs,,,,,
51,Taxes,3510602.0,,,,
52,Insurance,16308493.649739418,,,,
54,Decommissioning,14606673.0,,,,
,,,,,,
,50s - Subtotal,34425768.649739414,,,,
,50s - $/kWe,110.76502139555797,,,,
,,,,,,
60,Capitalized Financial Costs,,,,,
62,Interest,2027131094.3197932,,,,
-,60s - Subtotal,2027131094.3197932,,,,
,60s - $/kWe,6522.300818274753,,,,
,,,,,,
,Total Direct Capital Cost (Accounts 10 to 20),1984538942.9606168,,,,
,(Accounts 10 to 20) US$/kWe,6385.260434236219,,,,
,,,,,,
,Base Construction Cost (Accounts 10 to 30),3703101328.678529,,,,
,(Accounts 10 to 30) US$/kWe,11914.740439763606,,,,
,,,,,,
,Total Overnight Cost (Accounts 10 to 50),3737527097.328268,,,,
,(Accounts 10 to 50) US$/kWe,12025.505461159164,,,,
,,,,,,
,Total Capital Investment Cost (All Accounts),5764658191.648062,,,,
,(Accounts 10 to 60) US$/kWe,18547.806279433917,,,,
,,,,,,
,Total Overnight Cost - ITC reduced,3737527097.328268,,,,
,Total Overnight Cost -ITC reduced (US$/kWe),12025.505461159164,,,,
,,,,,,
,Total Capital Investment Cost - ITC reduced,5764658191.648062,,,,
,Total Capital Investment Cost - ITC reduced (US$/kWe),18547.806279433917,,,,
